scope,variant,cohort,n_days,albedo,storage_fraction,delivered_water_l_m2,mean_daily_max_surface_c,mean_surface_c,mean_air_excess_k_h,mean_watering_effect_k_h,min_daily_watering_effect_k_h,max_daily_watering_effect_k_h,mean_daily_max_reduction_by_watering_k,mean_daily_mean_reduction_by_watering_k,mean_reflected_shortwave_mj_m2,mean_initial_surface_water_kg_m2,mean_initial_base_water_kg_m2,mean_final_surface_water_kg_m2,mean_final_base_water_kg_m2,mean_extra_evaporation_vs_no_water_kg_m2,mean_interaction_k_h,mean_absorbed_shortwave_j_m2,mean_downward_kg_m2,mean_drained_kg_m2,mean_evaporated_kg_m2,mean_ground_out_j_m2,mean_irrigation_kg_m2,mean_latent_out_j_m2,mean_net_longwave_j_m2,mean_rain_kg_m2,mean_runoff_kg_m2,mean_sensible_out_j_m2,mean_upward_kg_m2,mean_water_enthalpy_net_j_m2
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.0,0.0,26.95429725021186,8.894339205489759,87.28742310149374,0.0,0.0,0.0,0.0,0.0,1.294,0.0,0.0,0.0,0.0,0.0,0.0,11646000.0,0.0,0.0,0.0,1784214.2831132084,0.0,0.0,-5485244.088727424,0.0,0.0,3974628.5427415096,0.0,0.0
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.05,0.29750000000000004,26.93124825591093,8.889666000129553,87.14305230486495,0.1443707966287917,0.1443707966287917,0.1443707966287917,0.023048994300928882,0.004673205360205657,1.294,0.0,0.0,0.00554046004971847,2.5876800872642642e-06,0.0031446420321901594,0.0,11646000.0,0.28881489791809073,0.2888123102380035,0.0031446420321901594,1786261.4372023414,0.2974999999999989,7704.37297886589,-5482618.946487004,0.0,0.0,3967352.2219870114,0.0,490.41888457087276
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.1,0.5950000000000001,26.908160742530647,8.884989334205954,86.998730113742,0.28869298775174457,0.28869298775174457,0.28869298775174457,0.04613650768121147,0.00934987128380449,1.294,0.0,0.0,0.011081485389642121,5.175624194157647e-06,0.006277779023727336,0.0,11646000.0,0.5776407355866303,0.5776355599624361,0.006277779023727336,1788299.6587887844,0.5949999999999978,15380.55860813197,-5480003.897580873,0.0,0.0,3960102.2291790447,0.0,977.5150855355811
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.15,0.8925,26.884786427006315,8.880250659576655,86.85297543812844,0.4344476633653045,0.4344476633653045,0.4344476633653045,0.06951082320554391,0.014088545913104156,1.294,0.0,0.0,0.016673079501981696,7.787186521242824e-06,0.009424077048960705,0.0,11646000.0,0.8664028434490589,0.866395056262539,0.009424077048960705,1790289.762258676,0.8925000000000031,23088.988769953732,-5477368.809386457,0.0,0.0,3952795.939296981,0.0,1365.9711553849918
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.2,1.1900000000000002,26.859219864627008,8.874987991060001,86.69652567512983,0.5908974263639095,0.5908974263639095,0.5908974263639095,0.09507738558485102,0.019351214429757846,1.294,0.0,0.0,0.02271308997900956,1.0608182376824659e-05,0.01271626487105131,0.0,11646000.0,1.1545706451499385,1.1545600369675784,0.01271626487105131,1791251.8206153228,1.1899999999999955,31154.848934075704,-5474502.007374815,0.0,0.0,3944847.3776876386,0.0,-21.627776047761344
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.25,1.4875,26.832943012009203,8.869305939898844,86.53333350397084,0.7540895975229063,0.7540895975229063,0.7540895975229063,0.121354238202656,0.02503326559091512,1.294,0.0,0.0,0.029865724020765032,1.3948830719245186e-05,0.016105379249089592,0.0,11646000.0,1.4415288967301476,1.4415149478994713,0.016105379249089592,1790721.5565892851,1.4875000000000071,39458.179160269516,-5471482.758887449,0.0,0.0,3936465.5979317483,0.0,-3731.8467596735013
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.3,1.785,26.806601815303456,8.863872357103508,86.37146803244273,0.9159550690510088,0.9159550690510088,0.9159550690510088,0.1476954349084032,0.03046684838625069,1.294,0.0,0.0,0.039130825123168095,1.8276109936861216e-05,0.019494183054788755,0.0,11646000.0,1.7263749918220515,1.7263567157121784,0.019494183054788755,1790533.7888648126,1.7850000000000061,47760.74848423246,-5468578.105042647,0.0,0.0,3928412.6763129723,0.0,-6370.742529955634
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.35,2.0825,26.780213737624145,8.858698479775247,86.21270257338468,1.0747205281090686,1.0747205281090686,1.0747205281090686,0.17408351258771404,0.03564072571451149,1.294,0.0,0.0,0.05209774828935639,2.4332330642204286e-05,0.022873476686517038,0.0,11646000.0,2.007528775024136,2.007504442693397,0.022873476686517038,1790967.7688503538,2.08250000000001,56040.01788196674,-5465785.537904661,0.0,0.0,3920670.787875525,0.0,-7261.300526587627
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.4,2.3800000000000003,26.753787905940296,8.853644651895912,86.05611140818117,1.231311693312577,1.231311693312577,1.231311693312577,0.20050934427156264,0.04069455359384655,1.294,0.0,0.0,0.07134306882610716,3.332088615547768e-05,0.026242647673818287,0.0,11646000.0,2.2824142835000725,2.2823809626137375,0.026242647673818287,1791713.2633429843,2.379999999999991,64294.4868008548,-5463049.335895819,0.0,0.0,3913076.530944067,0.0,-6866.238622690239
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.45,2.6775,26.727329765300922,8.848616356699944,85.89992084191353,1.3875022595802164,1.3875022595802164,1.3875022595802164,0.22696748491093643,0.04572284878981492,1.294,0.0,0.0,0.09850016802098766,0.16106699302071883,0.029600268558073035,0.0,11646000.0,2.5493995634209363,2.388332570399978,0.029600268558073035,1792530.8295231038,2.6774999999999958,72520.65796727898,-5460331.782459051,0.0,0.0,3905530.0635389932,0.0,-3185.205725879623
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.5,2.975,26.70084297584075,8.843590439403142,85.74386201220743,1.5435610892863139,1.5435610892863139,1.5435610892863139,0.25345427437110857,0.050748766086616826,1.294,0.0,0.0,0.12657790758786758,0.426005490489476,0.0329459646649886,0.0,11646000.0,2.815476127747159,2.3894706372573666,0.0329459646649886,1793338.2583973897,2.9750000000000143,80717.61342922208,-5457623.930488123,0.0,0.0,3898008.663563784,0.0,2175.0989280821227
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.55,3.2725000000000004,26.67433017041144,8.83856740090763,85.58795069959723,1.6994724018965144,1.6994724018965144,1.6994724018965144,0.2799670798004179,0.05577180458212894,1.294,0.0,0.0,0.15467438701269573,0.6911465971329834,0.03627966336008908,0.0,11646000.0,3.0815459496272046,2.3903993524939,0.03627966336008908,1794134.479260949,3.2724999999999853,88885.17523221823,-5454925.7762464415,0.0,0.0,3890512.3223329205,0.0,7539.428702092098
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.6,3.57,26.647793429979075,8.833547920616727,85.43219982904945,1.8552232724442916,1.8552232724442916,1.8552232724442916,0.3065038202327841,0.06079128487303187,1.294,0.0,0.0,0.18278518708821104,0.9564412996861494,0.03960134396154197,0.0,11646000.0,3.3476134689502466,2.391172169263761,0.03960134396154197,1794919.9739422475,3.5700000000000123,97023.2927057778,-5452237.344835054,0.0,0.0,3883041.118779077,0.0,12907.196279115817
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.65,3.8675,26.621234448990855,8.828532583630507,85.27662020971853,2.0108028917752137,2.0108028917752137,2.0108028917752137,0.3330628012210042,0.06580662185925235,1.294,0.0,0.0,0.21090734204506945,1.2218567208141085,0.042911021725329,0.0,11646000.0,3.6136816362296056,2.3918249154151554,0.042911021725329,1795695.0923543852,3.867499999999988,105132.00322705608,-5449558.630223139,0.0,0.0,3875595.04597548,0.0,18278.0033236175
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.7,4.165,26.594654703251578,8.823521912526905,85.12122134890703,2.1662017525867157,2.1662017525867157,2.1662017525867157,0.35964254696028064,0.07081729296285388,1.294,0.0,0.0,0.23903868791126157,1.4873688784922092,0.046208730870849216,0.0,11646000.0,3.8797525812179217,2.3923837027253754,0.046208730870849216,1796460.111334097,4.16500000000002,113211.39063358064,-5446889.609522801,0.0,0.0,3868174.0505460734,0.0,23651.55574901201
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.75,4.4625,26.568055488873803,8.818516375567812,84.96601164933803,2.321411452155715,2.321411452155715,2.321411452155715,0.38624176133805577,0.07582282992194678,1.294,0.0,0.0,0.2671777128897832,1.752961027409972,0.04949452098613437,0.0,11646000.0,4.145827766124061,2.3928667387137685,0.04949452098613437,1797215.2480836143,4.462499999999989,121261.57641602916,-5444230.2463132385,0.0,0.0,3860778.0418195077,0.0,29027.644406935757
