scope,variant,cohort,n_days,albedo,storage_fraction,delivered_water_l_m2,mean_daily_max_surface_c,mean_surface_c,mean_air_excess_k_h,mean_watering_effect_k_h,min_daily_watering_effect_k_h,max_daily_watering_effect_k_h,mean_daily_max_reduction_by_watering_k,mean_daily_mean_reduction_by_watering_k,mean_reflected_shortwave_mj_m2,mean_initial_surface_water_kg_m2,mean_initial_base_water_kg_m2,mean_final_surface_water_kg_m2,mean_final_base_water_kg_m2,mean_extra_evaporation_vs_no_water_kg_m2,mean_interaction_k_h,mean_absorbed_shortwave_j_m2,mean_downward_kg_m2,mean_drained_kg_m2,mean_evaporated_kg_m2,mean_ground_out_j_m2,mean_irrigation_kg_m2,mean_latent_out_j_m2,mean_net_longwave_j_m2,mean_rain_kg_m2,mean_runoff_kg_m2,mean_sensible_out_j_m2,mean_upward_kg_m2,mean_water_enthalpy_net_j_m2
sensitivity_common,base_heat_1,summer_zero_recorded_amount,33,0.1,0.0,0.0,54.48578565703697,36.04496382229384,184.5701039235869,0.0,0.0,0.0,0.0,0.0,2.283969696969697,0.38276741355783656,2.2951404888054077,0.17858939705801458,1.8737874835220771,0.0,0.0,20555727.272727273,0.15638909203788506,0.5766578118474255,0.048873209935200196,2626241.1191976066,0.0,119739.36434124046,-7163286.685808362,0.0,0.0,10435579.20210868,0.0010842854732635513,-82071.25142565943
sensitivity_common,base_heat_1,summer_zero_recorded_amount,33,0.1,0.5,2.975,53.76935861465461,35.78613462812691,178.40402872608092,6.166075197506001,1.572718821214579,9.395515981036823,0.7164270423823627,0.258829194166919,2.283969696969697,0.38276741355783656,2.2951404888054077,0.31860468213928145,2.635710525506961,0.20238849635044617,0.0,20555727.272727273,2.7332403525611344,2.3926703158590437,0.25126170628564637,2585819.846914574,2.9750000000000143,615591.1803998335,-6996232.148187361,0.0,0.054660672571792704,10080178.50316666,0.0,-42374.53004139641
sensitivity_common,base_heat_1,summer_zero_recorded_amount,33,0.1,1.0,5.95,53.13194162096252,35.5535356059979,172.8414383383417,11.728665585245219,1.5787757541045266,18.192825840952537,1.3538440360744475,0.4914282162959326,2.283969696969697,0.38276741355783656,2.2951404888054077,0.5606834831374395,4.982831034476367,0.38486728910627116,0.0,20555727.272727273,5.083900286464932,2.3962097407935894,0.43374049904147133,2550228.7550616986,5.950000000000029,1062664.2226516048,-6847728.839885624,0.0,0.25444314491402303,9763079.177153168,0.0,226151.1389817488
sensitivity_common,base_heat_1,summer_zero_recorded_amount,33,0.3,0.0,0.0,48.94033673288641,34.097471457349776,138.89494777402012,0.0,0.0,0.0,0.0,0.0,6.851909090909091,0.38276741355783656,2.2951404888054077,0.1821160106432945,1.882971747658706,0.0,0.0,15987787.878787875,0.16526243377140998,0.5770191602815655,0.03580098377915369,2071497.0717055162,0.0,87712.41025892657,-5966897.439026263,0.0,0.0,7783094.019721568,0.00041201463602135455,-77165.05201349124
sensitivity_common,base_heat_1,summer_zero_recorded_amount,33,0.3,0.5,2.975,48.418383586195056,33.900161751163395,134.2066594305312,4.688288343488909,1.1826225914556971,7.232614407258438,0.5219531466913532,0.1973097061863822,6.851909090909091,0.38276741355783656,2.2951404888054077,0.32681354673490154,2.6920268346439764,0.1509314089049729,1.4777868540170915,15987787.878787875,2.78955667334632,2.3926703275072074,0.18673239268412659,2041615.1957411265,2.9750000000000143,457494.3620761102,-5844444.741122274,0.0,0.054664800792507386,7512500.053125754,0.0,-18022.547615266987
sensitivity_common,base_heat_1,summer_zero_recorded_amount,33,0.3,1.0,5.95,47.94002506717451,33.72103140180756,129.92778841230614,8.967159361713996,1.1832259704165153,14.095098242052728,1.0003116657118993,0.3764400555422176,6.851909090909091,0.38276741355783656,2.2951404888054077,0.5745598936132605,5.078050143173435,0.2888081648688629,2.7615062235312235,15987787.878787875,5.179119396587005,2.396209742218628,0.3246091486480166,2014842.4630338028,5.950000000000029,795292.4141876407,-5734436.922953609,0.0,0.2544789747095871,7268698.381677411,0.0,261667.15532230833
sensitivity_common,base_heat_1,summer_zero_recorded_amount,33,0.5,0.0,0.0,43.32834958054888,32.127784600502416,93.0524030351934,0.0,0.0,0.0,0.0,0.0,11.419848484848485,0.38276741355783656,2.2951404888054077,0.18427383056762334,1.8917321802606422,0.0,0.0,11419848.48484848,0.17397418858862038,0.5773301817543701,0.02457170978007816,1510429.5355812681,0.0,60200.68896119147,-4804200.764477213,0.0,0.0,5099885.357384019,5.2315378485518496e-05,-72997.3645772157
sensitivity_common,base_heat_1,summer_zero_recorded_amount,33,0.5,0.5,2.975,42.963683037407314,31.9851053552525,89.674105470519,3.3782975646743907,0.8295254728367638,5.299235598571528,0.3646665431415673,0.14267924524991055,11.419848484848485,0.38276741355783656,2.2951404888054077,0.3338871353911905,2.7401199659497255,0.10698983461618786,2.7877776328316095,11419848.48484848,2.8376498162329344,2.3926703390880686,0.131561544396266,1488404.4193787565,2.9750000000000143,322325.78377085173,-4719061.657584993,0.0,0.054668917537463495,4904397.490456663,0.0,2475.0629445348018
sensitivity_common,base_heat_1,summer_zero_recorded_amount,33,0.5,1.0,5.95,42.62648736491382,31.854184094718164,86.56150977112563,6.490893264067755,0.8284782856061526,10.3327201812819,0.7018622156350569,0.27360050578424433,11.419848484848485,0.38276741355783656,2.2951404888054077,0.5865897830207979,5.159891502637852,0.2061306531228617,5.237772321177464,11419848.48484848,5.260960757470297,2.3962097436375314,0.23070236290293986,1468367.2258535712,5.950000000000029,565220.7891122026,-4641763.579004528,0.0,0.2545145101638341,4726482.351275002,0.0,290834.19190709427
sensitivity_common,base_heat_1,summer_reported_rain,17,0.1,0.0,0.0,42.444247611309926,29.72471256976251,101.06774002595768,0.0,0.0,0.0,0.0,0.0,1.2312352941176472,2.5720391452481364,9.596380946411811,3.4786868270043803,14.095170369158994,0.0,0.0,11081117.647058824,6.265632910511253,1.7665572075073166,0.12151955783304981,1162525.140709786,0.0,297722.91669097205,-3719869.8535086256,33.32352941176469,26.030015541919706,5774572.904824941,0.0002862802554725568,454686.7948233661
sensitivity_common,base_heat_1,summer_reported_rain,17,0.1,0.5,2.975,42.086833946991284,29.618088417781067,98.51212953948651,2.555610486471162,0.0023285559586483373,7.882518693194413,0.35741366431863897,0.10662415198144114,1.2312352941176472,2.5720391452481364,9.596380946411811,3.552560747376771,14.960099670304631,0.07969664653578543,0.0,11081117.647058824,7.759792610904329,2.3960738870100977,0.20121620436883522,1146110.2625042847,2.9750000000000143,492979.70070364635,-3653477.243944962,33.32352941176469,27.35699899436304,5629067.021341495,0.0,530883.7834012591
sensitivity_common,base_heat_1,summer_reported_rain,17,0.1,1.0,5.95,41.789662365971786,29.531433760804692,96.43286031103753,4.634879714920139,0.004491810504674731,15.35816396899861,0.65458524533814,0.19327880895781704,1.2312352941176472,2.5720391452481364,9.596380946411811,3.6388628243433536,16.136105717525353,0.1428797284643921,0.0,11081117.647058824,8.937692108429594,2.397967337314851,0.2643992862974419,1132953.7091701732,5.950000000000029,647778.2514287326,-3599974.1374684027,33.32352941176469,29.004614337942623,5515343.345463578,0.0,655702.809559484
