scope,cohort,n_days,albedo,max_effect_k_h,minimum_95_l_m2,minimum_90_l_m2,dose_at_grid_maximum_l_m2,status
baseline_all,winter_zero_recorded_amount,1,0.1,3.09437135305231,5.6525,5.355,5.95,conditional_on_baseline_initialization
baseline_all,winter_zero_recorded_amount,1,0.3,2.4317124198153905,5.6525,5.355,5.95,conditional_on_baseline_initialization
baseline_all,winter_zero_recorded_amount,1,0.5,1.8253177657693378,5.6525,5.355,5.95,conditional_on_baseline_initialization
sensitivity_common,winter_zero_recorded_amount,0,0.1,,,,,no_eligible_days
sensitivity_common,winter_zero_recorded_amount,0,0.3,,,,,no_eligible_days
sensitivity_common,winter_zero_recorded_amount,0,0.5,,,,,no_eligible_days
baseline_all,winter_reported_rain,0,0.1,,,,,no_eligible_days
baseline_all,winter_reported_rain,0,0.3,,,,,no_eligible_days
baseline_all,winter_reported_rain,0,0.5,,,,,no_eligible_days
sensitivity_common,winter_reported_rain,0,0.1,,,,,no_eligible_days
sensitivity_common,winter_reported_rain,0,0.3,,,,,no_eligible_days
sensitivity_common,winter_reported_rain,0,0.5,,,,,no_eligible_days
baseline_all,summer_zero_recorded_amount,37,0.1,11.37921062168033,5.6525,5.355,5.95,conditional_on_baseline_initialization
baseline_all,summer_zero_recorded_amount,37,0.3,8.69495914910598,5.6525,5.355,5.95,conditional_on_baseline_initialization
baseline_all,summer_zero_recorded_amount,37,0.5,6.293200270229757,5.6525,5.355,5.95,conditional_on_baseline_initialization
sensitivity_common,summer_zero_recorded_amount,33,0.1,11.69591037225823,5.6525,5.355,5.95,conditional_on_baseline_initialization
sensitivity_common,summer_zero_recorded_amount,33,0.3,8.943984206845643,5.6525,5.355,5.95,conditional_on_baseline_initialization
sensitivity_common,summer_zero_recorded_amount,33,0.5,6.483361087534632,5.6525,5.355,5.95,conditional_on_baseline_initialization
baseline_all,summer_reported_rain,18,0.1,4.862354657068849,5.6525,5.355,5.95,conditional_on_baseline_initialization
baseline_all,summer_reported_rain,18,0.3,3.780725175237419,5.6525,5.355,5.95,conditional_on_baseline_initialization
baseline_all,summer_reported_rain,18,0.5,2.784115057441284,5.6525,5.355,5.95,conditional_on_baseline_initialization
sensitivity_common,summer_reported_rain,17,0.1,4.631470294527723,5.6525,5.355,5.95,conditional_on_baseline_initialization
sensitivity_common,summer_reported_rain,17,0.3,3.599772229202959,5.6525,5.355,5.95,conditional_on_baseline_initialization
sensitivity_common,summer_reported_rain,17,0.5,2.6524755876815878,5.6525,5.355,5.95,conditional_on_baseline_initialization
